,high_formula,high_mpid,low_formula,low_mpid,average_voltage,battery_id,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume
18,Mn5O3F5,mp-767195,LiMn5O3F5,mp-765441,2.799764639999997,mp-765441_Li,63.11853045651941,235.5748027144222,176.7170297009259,659.5540027148146,0.0187543277401094
19,Mn7O7F,mp-767193,LiMn7O7F,mp-764671,2.242338110000025,mp-764671_Li,51.294552116479686,197.1245750037446,115.01972904616484,442.0199469484549,0.0652513847890969
20,Li9Fe4(BO3)8,mp-765296,Li3Fe(BO3)2,mp-765267,4.4685408399999975,mp-765267_Li,103.46123566645552,266.6512188398167,462.3207569324208,1191.5418614214975,0.0440432681396218
21,Li3Co2Cu3O10,mp-764235,Li5Co2Cu3O10,mp-761783,3.5871661350000017,mp-761783_Li,106.52345309617114,501.0985101924328,382.1173235298462,1797.5236060612478,0.0095115344906111
22,LiCo3CuO8,mp-761730,Li4Co3CuO8,mp-768017,3.19708087666667,mp-761730_Li,202.9878131079608,926.3021807867208,648.9684554838493,2961.462988207857,0.0427554546674302
23,Fe(PO3)5,mp-540145,LiFe(PO3)5,mp-687200,5.400743890000007,mp-540145_Li,115.377711029935,295.6842514991914,614.6377045560804,1575.1628975174704,0.0058929157756195
24,FeP4O13,mp-1101552,LiFeP4O13,mp-705398,5.711726372500015,mp-1101552_Li,133.46877751333992,326.3014157992774,731.9825622583896,1789.5342330637816,0.0351310419687536
25,Li3Fe3P8O29,mp-705437,Li6Fe3P8O29,mp-1177017,5.296617258333333,mp-1177017_Li,170.75054927617143,460.648888991899,874.7226025549033,2359.8166843452123,0.018560330381834
26,Li3FeP2O9,mp-540454,Li4FeP2O9,mp-540453,4.625299549999999,mp-540453_Li,92.56217342899924,255.66653562653408,428.127779108172,1182.534312183467,0.0121761942690488
27,Fe4P9O32,mp-1101549,Li3Fe4P9O32,mp-705390,5.144811168333334,mp-1101549_Li,77.68938211245168,215.6973553537937,399.69720075305736,1109.7221628041616,0.0371072879621665
28,Li2Fe(PO4)2,mp-762711,Li3Fe(PO4)2,mp-773399,4.9945237899999935,mp-762711_Li,100.526644067962,310.6037607516248,502.082715326298,1551.3178723374565,0.0180566198178757
29,Li2Fe(PO4)2,mp-762856,Li3Fe(PO4)2,mp-772427,4.7678076250000085,mp-762856_Li,100.526644067962,310.98294454540337,479.2917001028911,1482.706854248529,0.0399946375171282
30,Fe2P3O13,mp-697819,LiFe2P3O13,mp-697808,4.411901124999991,mp-697808_Li,63.8823348908217,172.43273952203944,281.84254517244244,760.7561974841162,0.0053958498015016
31,LiFe2(PO4)3,mp-699352,Li3Fe2(PO4)3,mp-31779,4.761582150000001,mp-31779_Li,128.41275640771264,427.8463574993307,611.4478887432626,2037.225578811332,0.0057454427716499
32,LiFe2(PO4)3,mp-540420,Li3Fe4(PO4)6,mp-767949,5.475856030000022,mp-540420_Li,32.924391937474425,99.89898304310148,180.28923012490344,547.0324486874372,0.0003740842518282
33,Fe3P3O13,mvc-11637,LiFe3P3O13,mp-1013899,5.072958775000023,mp-1013899_Li,56.3779430247005,178.53543156672748,286.0029807836057,905.7028842148464,0.0050856054765149
34,FeP2O7,mp-1048396,LiFeP2O7,mp-762487,5.300311742500005,mp-1048396_Li,113.2157220887838,349.8415426386252,600.078621222798,1854.2692364618213,0.099325824277034
35,LiFeP2O7,mp-1101522,Li2FeP2O7,mp-540026,4.463954980000002,mp-1101522_Li,109.99074863235974,304.8880539470888,490.9937501113507,1361.0065467596164,0.0232324976271462
36,Fe4(PO4)3,mp-704185,LiFe4(PO4)3,mp-704186,4.286542235000018,mp-704185_Li,52.01796633129456,193.9862556724295,222.97720965790307,831.530277949381,0.0138900175102456
37,CrCo5O12,mp-773306,Li4CrCo5O12,mp-771505,3.787754732500003,mp-771505_Li,189.2696909597136,851.651664512409,716.9071676514682,3225.8476226983817,0.0168101425906566
38,Cr(CoO3)2,mp-775117,Li2Cr(CoO3)2,mp-761651,3.8206619849999983,mp-761651_Li,191.6164730601212,843.2899446459254,732.1017743205813,3221.92583384144,0.0159333503273615
39,Cr3Co5O16,mp-771924,Li4Cr3Co5O16,mp-770878,3.9068699900000095,mp-770878_Li,145.9758429800664,647.4206228039221,570.308640203775,2529.388202139759,0.118747209673542
40,Cr3(CoO6)2,mp-861261,Li3Cr3(CoO6)2,mp-766730,3.6270034124999975,mp-766730_Li,165.2133131572226,528.1003730367268,599.2292506116771,1915.4218551467293,0.0298701358730839
41,Li2Cr3CoO8,mp-763336,Li3Cr3CoO8,mp-765438,4.010260959999988,mp-1177445_Li,144.60683665357678,603.1644495896894,497.8356912811707,2076.504802031313,0.0003960244076799
42,LiSn(PO3)4,mp-1101525,Li2Sn(PO3)4,mp-26271,4.100929527500005,mp-1101525_Li,59.76072609677136,180.77982433275423,245.07452623508985,741.3653195824558,0.0250893782269543
43,Sn(PO3)4,mp-757131,LiSn(PO3)4,mp-1176668,2.960717955000012,mp-1176668_Li,60.700165971012495,187.8233823042665,179.71607126185742,556.0920603570734,0.0647594666692283
44,LiSn2(PO4)3,mp-27094,Li3Sn2(PO4)3,mp-757899,2.3569065737500003,mp-26702_Li,98.68777209048382,332.2203766531307,232.5978587888032,783.0123896674648,0.1498579665313697
45,Sn2P3O10,mp-673117,LiSn2P3O10,mp-673119,4.569277154999986,mp-673117_Li,53.89656034442321,167.38989174929608,246.2683219148512,764.8508083479792,0.0337823131773935
47,LiFe8(BO3)8,mp-850498,LiFe4(BO3)4,mp-774381,3.165767289999996,mp-1176725_Li,192.8636672065875,636.0983669616704,572.6717729404912,1888.772441427728,0.0022557952804858
48,LiFe4(BO3)4,mp-849720,LiFe2(BO3)2,mp-764678,3.1526315249999803,mp-1176728_Li,84.4638972185275,274.70604731211665,250.75821714337496,815.5531644990189,0.0065442794337535
49,PWO5,mp-767454,LiPWO5,mp-763520,2.623638247500002,mp-763520_Li,88.81963498277653,459.9314300553199,233.0305914698017,1206.6936911205091,0.0149146152269297
50,P3W2O13,mp-767771,LiP3W2O13,mp-763543,3.302164795000015,mp-763543_Li,39.6744828157443,171.02300255745092,131.0116804139839,564.746138180412,0.0124473304026422
51,P3W2O13,mp-767436,LiP3W2O13,mp-763452,3.455722250000013,mp-763452_Li,39.6744828157443,172.51770382421202,137.10399302361074,596.1732676242418,0.0007419593181878
52,LiVO3,mp-763200,Li2VO3,mp-774192,3.1291248299999994,mp-762268_Li,237.556085010682,821.9110646123794,743.3426441245157,2571.86232033033,0.00340655906035
53,P3(WO6)2,mp-767435,LiP3(WO6)2,mp-763461,2.9714064275000047,mp-763461_Li,119.39768939683388,544.896021382471,286.6665985336725,1308.2622435437715,1.29040176064521e-05
54,P3(WO6)2,mp-851036,LiP3(WO6)2,mp-763532,2.928391355000007,mp-763372_Li,119.39768939683388,523.5970279104522,291.84363727329287,1279.8276236568804,0.0002290660559136
55,P2WO8,mp-767148,LiP2WO8,mp-765954,4.270126764999992,mp-763561_Li,138.2714479651734,553.4637108068147,551.9012646128388,2209.1134967251623,0.0300971953423665
56,V5O12,mp-774289,Li3V5O12,mp-762254,3.438497173333327,mp-1177023_Li,378.79099563777953,1427.9573841137917,1137.3505241776998,4287.557249323527,0.0463570719417711
57,LiP2WO8,mp-763357,Li3P2WO8,mp-763373,2.752661035000001,mp-763357_Li,135.83929338161175,596.3084336396101,373.9195299134962,1641.4349901216383,0.0243510400083812
58,P2WO8,mp-767803,LiP2WO8,mp-763370,3.730991342499995,mp-763370_Li,70.39614204931883,257.10579266892825,262.64739653140845,959.25948655437,0.0099542524513749
59,P2WO8,mp-767567,LiP2WO8,mp-763483,3.610933902499999,mp-763483_Li,70.39614204931883,263.6219337436753,254.1958159310911,951.9213779976455,0.026172695916578
